Assembly Accession	Assembly Name	Assembly LongName	Assembly Level	Assembly Refseq Category	Assembly BioProject Accession	Organism Taxonomic ID	Organism Name	Assembly BioSample Description Organism Name	ANI Submitted organism	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Accession	Assembly BioSample Sample name	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Collected by	Assembly BioSample Identified by	Assembly BioSample Submission date	Assembly BioSample Publication date	Assembly Sequencing Tech	Assembly Assembly Method
GCA_040750595.1	ASM4075059v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2020_HT14		SAMN26329529		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:05.163	2023-04-30T00:51:11.637	Illumina HiSeq	SPAdes v. 2.3
GCA_040750605.1	ASM4075060v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2020_HT15		SAMN26329530		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:05.177	2023-04-30T00:51:11.670	Illumina HiSeq	SPAdes v. 2.3
GCA_040750635.1	ASM4075063v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2019_26		SAMN26329527		Marmota himalayana				China: Gansu		2019			2022-03-01T04:47:05.140	2023-04-30T00:51:11.607	Illumina HiSeq	SPAdes v. 2.3
GCA_040750655.1	ASM4075065v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2020_HT13		SAMN26329528		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:05.153	2023-04-30T00:51:11.613	Illumina HiSeq	SPAdes v. 2.3
GCA_040750675.1	ASM4075067v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2019_25		SAMN26329526		Marmota himalayana				China: Gansu		2019			2022-03-01T04:47:05.130	2023-04-30T00:50:55.370	Illumina HiSeq	SPAdes v. 2.3
GCA_040750695.1	ASM4075069v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2019_23		SAMN26329524		Marmota himalayana				China: Gansu		2019			2022-03-01T04:47:05.107	2023-04-30T00:50:55.340	Illumina HiSeq	SPAdes v. 2.3
GCA_040750715.1	ASM4075071v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	GS20171211		SAMN26329518		Homo sapiens				China: Gansu		2017			2022-03-01T04:47:05.027	2023-04-30T00:50:55.273	Illumina HiSeq	SPAdes v. 2.3
GCA_040750735.1	ASM4075073v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	ASK2020_J9		SAMN26329516		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:04.993	2023-04-30T00:50:55.260	Illumina HiSeq	SPAdes v. 2.3
GCA_040750755.1	ASM4075075v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	SB2019_24		SAMN26329525		Marmota himalayana				China: Gansu		2019			2022-03-01T04:47:05.117	2023-04-30T00:50:55.360	Illumina HiSeq	SPAdes v. 2.3
GCA_040750775.1	ASM4075077v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	ASK2020_J8		SAMN26329515		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:04.980	2023-04-30T00:50:55.253	Illumina HiSeq	SPAdes v. 2.3
GCA_040750795.1	ASM4075079v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS21_HT72GU		SAMN26329511		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.930	2023-04-30T00:50:55.230	Illumina HiSeq	SPAdes v. 2.3
GCA_040750815.1	ASM4075081v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS21_HT71GUZS		SAMN26329510		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.917	2023-04-30T00:50:55.220	Illumina HiSeq	SPAdes v. 2.3
GCA_040750835.1	ASM4075083v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	ASK2020_J5		SAMN26329512		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:04.947	2023-04-30T00:50:55.233	Illumina HiSeq	SPAdes v. 2.3
GCA_040750855.1	ASM4075085v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	ASK2020_J7		SAMN26329514		Marmota himalayana				China: Gansu		2020			2022-03-01T04:47:04.970	2023-04-30T00:50:55.247	Illumina HiSeq	SPAdes v. 2.3
GCA_040750875.1	ASM4075087v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS21_HT71GU		SAMN26329509		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.903	2023-04-30T00:50:55.217	Illumina HiSeq	SPAdes v. 2.3
GCA_040750895.1	ASM4075089v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021-HT-28-OS		SAMN26329506		Oropsylla silantiewi				China: Gansu		2021			2022-03-01T04:47:04.870	2023-04-30T00:50:55.197	Illumina HiSeq	SPAdes v. 2.3
GCA_040750915.1	ASM4075091v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT81		SAMN26329508		Marmota himalayana				China: Gansu		2015			2022-03-01T04:47:04.893	2023-04-30T00:50:55.210	Illumina HiSeq	SPAdes v. 2.3
GCA_040750935.1	ASM4075093v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT5OS		SAMN26329507		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.880	2023-04-30T00:50:55.203	Illumina HiSeq	SPAdes v. 2.3
GCA_040750945.1	ASM4075094v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT14		SAMN26329505		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.857	2023-04-30T00:50:55.190	Illumina HiSeq	SPAdes v. 2.3
GCA_040750975.1	ASM4075097v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT05		SAMN26329502		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.820	2023-04-30T00:50:55.163	Illumina HiSeq	SPAdes v. 2.3
GCA_040750995.1	ASM4075099v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT07		SAMN26329504		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.847	2023-04-30T00:50:55.183	Illumina HiSeq	SPAdes v. 2.3
GCA_040751005.1	ASM4075100v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT06		SAMN26329503		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.833	2023-04-30T00:50:55.170	Illumina HiSeq	SPAdes v. 2.3
GCA_040751035.1	ASM4075103v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT04CD		SAMN26329500		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.790	2023-04-30T00:50:55.150	Illumina HiSeq	SPAdes v. 2.3
GCA_040751055.1	ASM4075105v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT04OS		SAMN26329501		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.807	2023-04-30T00:50:55.157	Illumina HiSeq	SPAdes v. 2.3
GCA_040751075.1	ASM4075107v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021HT04		SAMN26329499		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.777	2023-04-30T00:50:55.143	Illumina HiSeq	SPAdes v. 2.3
GCA_040751095.1	ASM4075109v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT56		SAMN26329495		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.723	2023-04-30T00:50:55.120	Illumina HiSeq	SPAdes v. 2.3
GCA_040751115.1	ASM4075111v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT5Cd		SAMN26329498		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.763	2023-04-30T00:50:55.137	Illumina HiSeq	SPAdes v. 2.3
GCA_040751135.1	ASM4075113v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT55		SAMN26329494		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.710	2023-04-30T00:50:25.557	Illumina HiSeq	SPAdes v. 2.3
GCA_040751155.1	ASM4075115v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT52		SAMN26329492		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.687	2023-04-30T00:50:25.543	Illumina HiSeq	SPAdes v. 2.3
GCA_040751175.1	ASM4075117v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT48TI		SAMN26329489		Ixodes crenulatus				China: Gansu		2021			2022-03-01T04:47:04.650	2023-04-30T00:50:25.507	Illumina HiSeq	SPAdes v. 2.3
GCA_040751195.1	ASM4075119v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT51		SAMN26329491		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.673	2023-04-30T00:50:25.537	Illumina HiSeq	SPAdes v. 2.3
GCA_040751215.1	ASM4075121v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT48CD		SAMN26329487		Callopsylla dolabris				China: Gansu		2021			2022-03-01T04:47:04.627	2023-04-30T00:50:25.493	Illumina HiSeq	SPAdes v. 2.3
GCA_040751235.1	ASM4075123v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT48		SAMN26329488		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.640	2023-04-30T00:50:25.500	Illumina HiSeq	SPAdes v. 2.3
GCA_040751255.1	ASM4075125v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT49		SAMN26329490		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.663	2023-04-30T00:50:25.530	Illumina HiSeq	SPAdes v. 2.3
GCA_040751275.1	ASM4075127v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT45OS		SAMN26329485		Oropsylla silantiewi				China: Gansu		2021			2022-03-01T04:47:04.600	2023-04-30T00:50:25.480	Illumina HiSeq	SPAdes v. 2.3
GCA_040751295.1	ASM4075129v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT45		SAMN26329484		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.590	2023-04-30T00:50:25.473	Illumina HiSeq	SPAdes v. 2.3
GCA_040751315.1	ASM4075131v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT44		SAMN26329483		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.580	2023-04-30T00:50:25.467	Illumina HiSeq	SPAdes v. 2.3
GCA_040751325.1	ASM4075132v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT47		SAMN26329486		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.613	2023-04-30T00:50:25.487	Illumina HiSeq	SPAdes v. 2.3
GCA_040751355.1	ASM4075135v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT39TI		SAMN26329482		Ixodes crenulatus				China: Gansu		2021			2022-03-01T04:47:04.563	2023-04-30T00:50:25.460	Illumina HiSeq	SPAdes v. 2.3
GCA_040751375.1	ASM4075137v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT32		SAMN26329479		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.530	2023-04-30T00:50:25.440	Illumina HiSeq	SPAdes v. 2.3
GCA_040751395.1	ASM4075139v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT39		SAMN26329481		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.553	2023-04-30T00:50:25.453	Illumina HiSeq	SPAdes v. 2.3
GCA_040751415.1	ASM4075141v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT28		SAMN26329477		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.507	2023-04-30T00:50:25.423	Illumina HiSeq	SPAdes v. 2.3
GCA_040751435.1	ASM4075143v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT33		SAMN26329480		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.540	2023-04-30T00:50:25.447	Illumina HiSeq	SPAdes v. 2.3
GCA_040751455.1	ASM4075145v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT30		SAMN26329478		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.517	2023-04-30T00:50:25.430	Illumina HiSeq	SPAdes v. 2.3
GCA_040751475.1	ASM4075147v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2021_HT27		SAMN26329476		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.493	2023-04-30T00:50:25.417	Illumina HiSeq	SPAdes v. 2.3
GCA_040751495.1	ASM4075149v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_64P		SAMN26329470		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.413	2023-04-30T00:50:25.377	Illumina HiSeq	SPAdes v. 2.3
GCA_040751515.1	ASM4075151v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT59GU		SAMN26329472		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.437	2023-04-30T00:50:25.390	Illumina HiSeq	SPAdes v. 2.3
GCA_040751535.1	ASM4075153v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_69GU		SAMN26329471		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.423	2023-04-30T00:50:25.383	Illumina HiSeq	SPAdes v. 2.3
GCA_040751555.1	ASM4075155v1		Scaffold		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS2015_HT1		SAMN26329474		Marmota himalayana				China: Gansu		2015			2022-03-01T04:47:04.463	2023-04-30T00:50:25.403	Illumina HiSeq	SPAdes v. 2.3
GCA_040751575.1	ASM4075157v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_64GU		SAMN26329469		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.400	2023-04-30T00:50:25.370	Illumina HiSeq	SPAdes v. 2.3
GCA_040751595.1	ASM4075159v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_63P		SAMN26329468		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.390	2023-04-30T00:50:25.360	Illumina HiSeq	SPAdes v. 2.3
GCA_040751615.1	ASM4075161v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_63OS		SAMN26329467		Oropsylla silantiewi				China: Gansu		2021			2022-03-01T04:47:04.377	2023-04-30T00:50:25.350	Illumina HiSeq	SPAdes v. 2.3
GCA_040751655.1	ASM4075165v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_63GU		SAMN26329466		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.360	2023-04-30T00:50:25.343	Illumina HiSeq	SPAdes v. 2.3
GCA_040751675.1	ASM4075167v1		Contig		PRJNA811346	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	AKS_HT_59P		SAMN26329465		Marmota himalayana				China: Gansu		2021			2022-03-01T04:47:04.347	2023-04-30T00:50:25.333	Illumina HiSeq	SPAdes v. 2.3
GCA_041409745.1	669_pPCP1-_HybridAssembly		Complete Genome		PRJNA1128573	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	6/69_pPCP1-		SAMN42053676				not applicable		not applicable		1997			2024-06-26T10:09:04.833	2024-06-26T00:00:00.000	Illumina MiSeq; Oxford Nanopore MinION	SPAdes v. 3.15.5; Trycycler v. 0.5.0; Flye v. 2.9; Raven v. 1.6.0; NECAT v. 0.0.1
GCA_041410195.1	669_HybridAssembly		Complete Genome		PRJNA1128573	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	6/69		SAMN42052713		Homo sapiens	Bubonic plague	bubo		Madagascar	20.233333 S 47.383333 E	1969	Institut Pasteur		2024-06-26T09:45:18.770	2024-06-26T00:00:00.000	Illumina MiSeq; Oxford Nanopore MinION	SPAdes v. 3.15.5; Trycycler v. 0.5.0; Flye v. 2.9; Raven v. 1.6.0; NECAT v. 0.0.1
GCA_041902565.1	ASM4190256v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	KIM5_LOU		SAMN43509945		missing	missing	missing		missing	missing	missing	missing		2024-09-05T11:22:07.556	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902575.1	ASM4190257v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_D_LOU		SAMN43509951		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.620	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902595.1	ASM4190259v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_B_LOU		SAMN43509949		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.600	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902625.1	ASM4190262v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_F_LOU		SAMN43509953		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.640	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902635.1	ASM4190263v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Angola_LOU		SAMN43509947		missing	missing	missing		Angola	11.20 S 17.87 E	missing	missing		2024-09-05T11:22:07.580	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902665.1	ASM4190266v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_E_LOU		SAMN43509952		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.630	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902675.1	ASM4190267v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_C_LOU		SAMN43509950		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.610	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902685.1	ASM4190268v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_G_LOU		SAMN43509954		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.650	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902725.1	ASM4190272v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	Pestoides_A_LOU		SAMN43509948		missing	missing	missing		USSR	61.52 N 105.31 E	missing	missing		2024-09-05T11:22:07.590	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041902745.1	ASM4190274v1		Contig		PRJNA1157339	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	CO_92_LOU		SAMN43509946		missing	missing	missing		USA:Colorado	39.55 N 105.78 W	missing	missing		2024-09-05T11:22:07.570	2024-09-11T00:00:00.000	Illumina HiSeq	SPAdes v. 3.15.3
GCA_041937415.1	KIM6+		Chromosome		PRJNA1133819	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	KIM6+		SAMN42388871		Xenopsylla cheopis		Laboratory		USA: Missouri		2022-04	University of Missouri		2024-07-09T20:43:03.990	2024-09-17T12:39:14.147	Illumina	SPAdes v. 3.15.5
GCA_046645925.1	ASM4664592v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	08007		SAMN44424220				Marmota himalayana		China:Qinghai		1967-07-07			2024-10-24T12:34:09.820	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046645945.1	ASM4664594v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670133		SAMN44424218				Marmota himalayana		China:Qinghai		1967-08-28			2024-10-24T12:34:09.803	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046645965.1	ASM4664596v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	77007		SAMN44424219				Marmota himalayana		China:Gansu		1967-08-03			2024-10-24T12:34:09.810	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046645985.1	ASM4664598v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670113		SAMN44424216				Marmota himalayana		China:Qinghai		1967-07-07			2024-10-24T12:34:09.783	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646005.1	ASM4664600v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	02043		SAMN44424217				Marmota himalayana		China:Qinghai		1967-07-20			2024-10-24T12:34:09.793	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646015.1	ASM4664601v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	12013		SAMN44424213				Marmota himalayana		China:Qinghai		1967-07-01			2024-10-24T12:34:09.757	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646045.1	ASM4664604v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670111		SAMN44424214				Marmota himalayana		China:Qinghai		1967-07-01			2024-10-24T12:34:09.767	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646055.1	ASM4664605v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670112		SAMN44424215				Marmota himalayana		China:Qinghai		1967-07-07			2024-10-24T12:34:09.773	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646085.1	ASM4664608v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	124022		SAMN44424212				Spermophilus dauricus		China:Ningxia		1967-05-14			2024-10-24T12:34:09.747	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646105.1	ASM4664610v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670105		SAMN44424210				Marmota himalayana		China:Qinghai		1967-06-21			2024-10-24T12:34:09.727	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646125.1	ASM4664612v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670117		SAMN44424211				Marmota himalayana		China:Qinghai		1967-07-03			2024-10-24T12:34:09.737	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646225.1	ASM4664622v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670125		SAMN44424207				Marmota himalayana		China:Qinghai		1967-08-15			2024-10-24T12:34:09.697	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646245.1	ASM4664624v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	10019		SAMN44424209				Marmota himalayana		China:Qinghai		1967-06-13			2024-10-24T12:34:09.717	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646285.1	ASM4664628v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670134		SAMN44424208				Marmota himalayana		China:Qinghai		1967-09-15			2024-10-24T12:34:09.707	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646305.1	ASM4664630v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670123		SAMN44424205				Marmota himalayana		China:Qinghai		1967-07-03			2024-10-24T12:34:09.680	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646325.1	ASM4664632v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670122		SAMN44424204				Marmota himalayana		China:Qinghai		1967-07-07			2024-10-24T12:34:09.670	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646345.1	ASM4664634v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670121		SAMN44424203				Marmota himalayana		China:Qinghai		1967-06-29			2024-10-24T12:34:09.660	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646365.1	ASM4664636v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670124		SAMN44424206				Marmota himalayana		China:Qinghai		1967-08-09			2024-10-24T12:34:09.687	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646385.1	ASM4664638v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670104		SAMN44424202				Marmota himalayana		China:Qinghai		1967-06-23			2024-10-24T12:34:09.650	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646405.1	ASM4664640v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	01077		SAMN44424201				Marmota himalayana		China:Qinghai		1967-05-28			2024-10-24T12:34:09.640	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646425.1	ASM4664642v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670116		SAMN44424199				Marmota himalayana		China:Qinghai		1967-07-13			2024-10-24T12:34:09.623	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
GCA_046646445.1	ASM4664644v1		Contig		PRJNA1177432	632	Yersinia pestis	Yersinia pestis	Yersinia pestis	670129		SAMN44424200				Marmota himalayana		China:Qinghai		1967-07-29			2024-10-24T12:34:09.633	2024-10-24T00:00:00.000	Illumina NovaSeq	Shovill v. 1.0.1
